tip,id_ploshadki,servisnyy_id,adres_razmeshcheniya,rayon,id_sk1,naimenovanie_sk1,status_oborudovaniya1,tip_sk_po_dogovoru1,id_sk2,naimenovanie_sk2,status_oborudovaniya2,tip_sk_po_dogovoru2,id_sk3,naimenovanie_sk3,status_oborudovaniya3,tip_sk_po_dogovoru3,id_sk4,naimenovanie_sk4,status_oborudovaniya4,tip_sk_po_dogovoru4,id_sk5,naimenovanie_sk5,status_oborudovaniya5,tip_sk_po_dogovoru5,planovaya_data_1_kv_2026,id_sk6,naimenovanie_sk6,status_oborudovaniya6,tip_sk_po_dogovoru6
УД,196620876,EMTS1706,"г. Санкт-Петербург, ул. Садовая, д.58",Адмиралтейский,209157472,Daikin внутр.FT35CV1A8/внеш.R35DV1,Активирован,1,,,,,,,,,,,,,,,,,20260128,,,,
УД,196620881,EMTS404,"г. Санкт-Петербург, ул. Малая Садовая, д.1",Центральный,211693190,Daikin внутр.FT60FVM/внеш.R60CV1A,Активирован,3,208386315,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,20260127,,,,
УА,196620911,EMTS815,"г. Санкт-Петербург, пр. Большой Сампсониевский, д.86",Выборгский,209142413,Mitsubishi Electric внутр.MS-GF80VA/внеш.MU-GF80VA,Активирован,3,216133029,Mitsubishi Heavy внутр.SRK80SPZR-S/внеш.SRC80SPZR-S,Активирован,3,,,,,,,,,,,,,20260213,,,,
УД,196620949,EMTS1707,"г. Санкт-Петербург, ул. Севастопольская, д.50",Кировский,208386675,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,,,,,20260313,,,,
УД,196620958,EMTS1765,"г. Санкт-Петербург, пр. Северный, д.79",Калининский,211929065,Mitsubishi Electric внутр.SRK71HE-S1/внеш.SRC71HE-S1,Активирован,3,,,,,,,,,,,,,,,,,20260212,,,,
УД,196621057,EMTS1028,"г. Санкт-Петербург, ул. Симонова, д.3",Выборгский,223546177,Mitsubishi Heavy внутр.SRK80ZSPR-S/внеш.SRC80ZSPR-S,Активирован,3,,,,,,,,,,,,,,,,,20260213,,,,
УА,196621126,EMTS1416,"г. Санкт-Петербург, проезд Смольный, д.1 (п. 165) (лестница)",Центральный,209008136,Mitsubishi heavy industries внутр.FDEN140VF/внеш.FDC140VS,Активирован,4,209008100,Mitsubishi heavy industries внутр.FDEN140VF/внеш.FDC140VS,Активирован,4,240692758,Kentatsu  KSUNB140HZAN3/KSCB140HZAN1,Активирован,4,,,,,,,,,20260227,,,,
УА,196621128,EMTS822,"г. Санкт-Петербург, проезд Смольный, д.1 (п. 269) (свешивание)",Центральный,218713744,Mitsubishi Heavy внутр.SRK80SPZR-S/внеш.SRC80SPZR-S,Активирован,3,241027601,Kentatsu внутр.KSCB105HZAN1/внеш.KSUNB105HZAN3,Активирован,4,240683866,Daikin внутр.FHA100AVEB/внеш.RR100B8V3B,Активирован,4,,,,,,,,,20260227,,,,
УД,196621134,EMTS4818,"г. Санкт-Петербург, ул. Смолячкова, д.14, корп.3",Выборгский,208386335,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,,,,,20260202,,,,
УД,196621136,EMTS1708,"г. Санкт-Петербург, ул. Смолячкова, д.15",Выборгский,208386677,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,208386679,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,213122892,Daikin внутр.FTXS20K2V1B/внеш.RXS20L2V1B,Активирован,1,212724544,Daikin внутр.FTXS20K2V1B/внеш.RXS20L2V1B,Активирован,1,,,,,20260213,,,,
УД,196621152,EMTS955,"г. Санкт-Петербург, ул. 3-я Советская, д.8",Центральный,244560061,Kentatsu внутр.KSGA26HFAN1/внеш.KSRA26HFAN1,Активирован,1,208385981,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260127,,,,
УД,196621188,EMTS1601,"г. Санкт-Петербург, пер. Советский, д.9",Адмиралтейский,208386069,Daikin внутр.FT60CV1A8/внеш.R60BV1,Активирован,2,208386071,Fujitsu GENERAL внутр.ASG18UBBN/внеш.AOG18UNBNL,Активирован,3,,,,,,,,,,,,,20260128,,,,
УД,196621196,EMTS939,"г. Санкт-Петербург, пр. Солидарности, д.1, корп.1",Невский,213119859,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,213119860,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,,,,,,,,,,,,,20260116,,,,
УА,196621281,EMTS3536,"г. Санкт-Петербург, пр. Среднеохтинский, д.50",Красногвардейский,223086885,Mitsubishi Heavy внутр.SRK80ZSPR-S/внеш.SRC80ZSPR-S,Активирован,3,244560011,Kentatsu внутр.KSGTI100HZAN1/внеш.KSRTI100HZAN1,Активирован,3,217976777,Mitsubishi Heavy внутр.SRK80SPZR-S/внеш.SRC80SPZR-S,На складе,3,,,,,,,,,20260324,,,,
УД,196621287,EMTS940,"г. Санкт-Петербург, пр. Среднеохтинский, д.8",Красногвардейский,209108688,Panasonic внутр.CS-C9GKD/внеш.CU-C9GKD,Активирован,1,208385967,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,20260119,,,,
УА,196621387,EMTS821,"г. Санкт-Петербург, пр. Стачек, д.18",Кировский,243154759,Kentatsu Otari внутр.KSGOT70HZRN1/внеш.KSROT70HZRN1,Активирован,2,209691783,Mitsubishi Electric внутр.MS-GF80VA/внеш.MU-GF80VA,Активирован,3,209691787,Mitsubishi Electric внутр.MS-GF80VA/внеш.MU-GF80VA,На складе,3,209535746,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,213399443,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,20260305,,,,
УД,196621435,EMTS1032,"г. Санкт-Петербург, ул. Стрельбищенская, д.26",Фрунзенский,208386337,Panasonic внутр.CS-C9GKD/внеш.CU-C9GKD,Активирован,1,222490526,Mitsubishi Electric внутр.MS-GF25VA/внеш.MU-GF25VA,Активирован,1,,,,,,,,,,,,,20260130,,,,
УД,196621437,EMTS1033,"г. Санкт-Петербург, ул. Стрельнинская, д.11",Петроградский,209183441,Daikin внутр.FT25JV1B/внеш.R25CV1A,Активирован,1,209183539,Daikin внутр.FT25JV1B/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260113,,,,
УА,196621458,EMTS1565,"г. Санкт-Петербург, пр. Суворовский, д.50",Центральный,224468886,Mitsubishi Electric внутр.PEA-RP200GAQ/внеш.PUHZ-RP200YKA,Активирован,2,224087406,Mitsubishi Electric внутр.MS-GF50VA/внеш.MU-GF50VА,Активирован,4,224466936,Mitsubishi Electric внутр.PEA-RP200GAQ/внеш.PUHZ-RP200YKA,Активирован,2,209691146,Daikin внутр.FTXS50K2V1B/внеш.RXS50L2V1B,Активирован,4,,,,,,,,,
УД,196621518,EMTS1709,"г. Санкт-Петербург, ул. Тамбасова, д.13",Красносельский,208386683,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,222587806,Mitsubishi Electric внутр.MS-GF25VA/внеш.MU-GF25VA,Активирован,1,,,,,,,,,,,,,20260319,,,,
УД,196621538,EMTS1710,"г. Санкт-Петербург, ул. Тамбасова, д.4",Красносельский,208386685,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,208386687,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260319,,,,
УД,196621541,EMTS1711,"г. Санкт-Петербург, ул. Тамбасова, д.9",Красносельский,208386689,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,208386691,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260326,,,,
УД,196621672,EMTS1637,"г. Санкт-Петербург, пр. Тореза, д.65",Выборгский,210630895,Daikin внутр.FTXS35K3V1B/внеш.RXS35L3V1B,Активирован,2,210630891,Daikin внутр.FTXS35K3V1B/внеш.RXS35L3V1B,Активирован,2,,,,,,,,,,,,,20260226,,,,
УД,196621684,EMTS1038,"г. Санкт-Петербург, ул. Торжковская, д.11",Приморский,243888143,Kentatsu внутр.KSGA26HFAN1/внеш.KSRA26HFAN1,Активирован,1,,,,,,,,,,,,,,,,,20260217,,,,
УД,196621739,EMTS1039,"г. Санкт-Петербург, ул. Турку, д.11, корп.1",Фрунзенский,208386353,Panasonic внутр.CS-C9GKD/внеш.CU-C9GKD,Активирован,1,224170266,Mitsubishi Electric внутр.MS-GF25VA/внеш.MU-GF25VA,Активирован,1,,,,,,,,,,,,,20260120,,,,
УД,196621801,EMTS878,"г. Санкт-Петербург, пер. Учебный, д.2",Калининский,209054151,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,240436322,Daichi внутр.DA25AVQS1-SL/внеш.DF25AVS1-L,Активирован,1,,,,,,,,,,,,,20260323,,,,
УД,196621863,EMTS1041,"г. Санкт-Петербург, ул. Фурштатская, д.36",Центральный,218098048,Royal Clima внутр.RCI-A21HN/внеш.RCI-A21HN,Активирован,1,,,,,,,,,,,,,,,,,20260127,,,,
УД,196621899,EMTS1715,"г. Санкт-Петербург, ул. Хошимина, д.8, корп.1",Выборгский,242861961,Daichi внутр.SIB35AVQS1R/внеш.SIB35FVS1R,Активирован,1,223043633,Mitsubishi Electric внутр.MS-GF25VA/внеш.MU-GF25VA,Активирован,1,,,,,,,,,,,,,20260226,,,,
УД,196621928,EMTS1716,"г. Санкт-Петербург, ул. Цимбалина, д.22",Невский,219257960,LG S24LHP NEO,Активирован,1,244852501,Axioma внутр.ASX12HZ1R/внеш.ASB12HZ1R,Активирован,1,,,,,,,,,,,,,20260122,,,,
УА,196622019,EMTS827,"г. Санкт-Петербург, ул. Черняховского, д.59",Центральный,209156952,Mitsubishi Electric внутр.MS-GE50VB/внеш.MU-GE50VB,Активирован,1,,,,,,,,,,,,,,,,,20260127,,,,
УД,196622049,EMTS1043,"г. Санкт-Петербург, ул. Шаврова, д.21, корп.2",Приморский,213120297,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,213120298,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,,,,,,,,,,,,,20260210,,,,
УД,196622056,EMTS1044,"г. Санкт-Петербург, ул. Шамшева, д.8",Петроградский,209156231,Daikin внутр.FT25JV1B/внеш.R25DV1,Активирован,1,209156249,Daikin внутр.FT25JV1B/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,20260217,,,,
УД,196622072,EMTS948,"г. Санкт-Петербург, пр. Шаумяна, д.51",Красногвардейский,208385969,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,,,,,20260219,,,,
